name,url,institutions,countries,country
Shuai Zhao,https://dl.acm.org/profile/99659194272,['China Automotive Technology and Research Center Co. Ltd'],['China'],China
Quan Wen,https://dl.acm.org/profile/99659194136,['China Automotive Technology and Research Center Co. Ltd'],['China'],China
Wenjun Guo,https://dl.acm.org/profile/84459002557,['Ajou University'],['South Korea'],South Korea
Seungwook Kim,https://dl.acm.org/profile/99659194257,['Seoul National University'],['South Korea'],South Korea
Sangjoon Son,https://dl.acm.org/profile/99659178205,['Ajou University'],['South Korea'],South Korea
Changhyung Hong,https://dl.acm.org/profile/99659178107,['Ajou University'],['South Korea'],South Korea
Hyunjung (Helen) Shin,https://dl.acm.org/profile/81100157592,"['Ajou University', 'University of Tübingen', 'Friedrich Miescher Laboratory', 'Seoul National University', 'Max Planck Institute for Biological Cybernetics']","['South Korea', 'Germany', 'Germany', 'South Korea', 'Germany']",South Korea
Thanyathorn Thanapattheerakul,https://dl.acm.org/profile/99659127931,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand
Jaturong Kongmanee,https://dl.acm.org/profile/99659128019,"['Michigan State University', 'Texas Tech University', 'King Mongkuts University of Technology Thonburi']","['United States', 'United States', 'Thailand']",United States
Saila Shama,https://dl.acm.org/profile/99659194254,['University of Toronto'],['Canada'],Canada
Philip Lu,https://dl.acm.org/profile/99659194245,['University of Toronto'],['Canada'],Canada
Narumol Doungpan,https://dl.acm.org/profile/99659194291,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand
Asawin Meechai,https://dl.acm.org/profile/81384616279,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand
Jiafan Li,https://dl.acm.org/profile/99659097484,['East China Normal University'],['China'],China
Zhijie Qiao,https://dl.acm.org/profile/99659194115,['East China Normal University'],['China'],China
Junjie Wang,https://dl.acm.org/profile/99659194278,['East China Normal University'],['China'],China
Wutthipong Kongburan,https://dl.acm.org/profile/99659154692,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand
Praisan Padungweang,https://dl.acm.org/profile/81442613236,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand
Worarat Krathu,https://dl.acm.org/profile/81550167556,"['King Mongkuts University of Technology Thonburi', 'Vienna University of Technology']","['Thailand', 'Austria']",Thailand
Luca Chech,https://dl.acm.org/profile/83058634857,['University of Padova'],['Italy'],Italy
Marta Vasilieva,https://dl.acm.org/profile/99659194161,['University of Helsinki'],['Finland'],Finland
Lorenzo Papa,https://dl.acm.org/profile/99659194174,['University of Padova'],['Italy'],Italy
