id,name,institutions,url
81470645933,Choychee Ken,['UOW Malaysia KDU College'],https://dl.acm.org/profile/81470645933
81460642808,Xiongfei Luo,"['Chinese Academy of Sciences', 'Institute of Software Chinese Academy of Sciences']",https://dl.acm.org/profile/81460642808
81418594973,Wei Liu,"['Chinese Academy of Sciences', 'Institute of Software Chinese Academy of Sciences']",https://dl.acm.org/profile/81418594973
99659619706,Shijian Lu,['CSIRO Ict Centre'],https://dl.acm.org/profile/99659619706
81430627791,Shaoke Zhang,['Pennsylvania State University'],https://dl.acm.org/profile/81430627791
81470645182,Jing Wang,['Pennsylvania State University'],https://dl.acm.org/profile/81470645182
81470647019,Hirofumi Miyamoto,['Shimane University'],https://dl.acm.org/profile/81470647019
81470654406,Tatman Cheong,['University of Macau'],https://dl.acm.org/profile/81470654406
81100394289,Yain Whar Si,"['University of Macau', 'Queensland University of Technology']",https://dl.acm.org/profile/81100394289
81100429353,Guoray Cai,['Pennsylvania State University'],https://dl.acm.org/profile/81100429353
99660262783,Yngve S Kristiansen,['University of Bergen'],https://dl.acm.org/profile/99660262783
81438597240,Laura A Garrison,['University of Bergen'],https://dl.acm.org/profile/81438597240
81100294147,Stefan Bruckner,"['University of Bergen', 'King Abdullah University of Science and Technology', 'Vienna University of Technology', 'Simon Fraser University']",https://dl.acm.org/profile/81100294147
99659201074,Zhenbao Fan,"['The University of Texas at Dallas', 'Tianjin University']",https://dl.acm.org/profile/99659201074
99660626204,Yixuan Zhu,['China University of Mining and Technology'],https://dl.acm.org/profile/99660626204
99660628227,Christine Yan,['University of Pennsylvania'],https://dl.acm.org/profile/99660628227
99660629158,Yufan Li,['Hong Kong University of Science and Technology'],https://dl.acm.org/profile/99660629158
99660543689,Hongzhi Zhu,['The University of British Columbia'],https://dl.acm.org/profile/99660543689
81100239077,Septimiu Edmund Salcudean,"['The University of British Columbia', 'University of California, Berkeley']",https://dl.acm.org/profile/81100239077
81100291054,Robert N Rohling,['The University of British Columbia'],https://dl.acm.org/profile/81100291054
99660629942,Peter Schaefer,['University of Konstanz'],https://dl.acm.org/profile/99660629942
81493658660,Sabine Storandt,"['University of Konstanz', 'Julius-Maximilian University of Würzburg', 'University of Freiburg', 'University of Stuttgart']",https://dl.acm.org/profile/81493658660
81414600759,Michael Becher,['University of Stuttgart'],https://dl.acm.org/profile/81414600759
99659344838,Moritz Heinemann,['University of Stuttgart'],https://dl.acm.org/profile/99659344838
99660628660,Thomas Marmann,['University of Stuttgart'],https://dl.acm.org/profile/99660628660
82258913557,Franziska Huth,"['University of Stuttgart', 'Saarland University']",https://dl.acm.org/profile/82258913557
83458713657,Tanja Blascheck,"['University of Stuttgart', 'Paris-Saclay University', '+ 2']",https://dl.acm.org/profile/83458713657
81436599209,Steffen Koch,['University of Stuttgart'],https://dl.acm.org/profile/81436599209
99659982875,Eric Mörth,['University of Bergen'],https://dl.acm.org/profile/99659982875
99660627923,Tanja Eichner,['Helse Bergen Haukeland University Hospital'],https://dl.acm.org/profile/99660627923
99659982427,Ingfrid S Haldorsen,"['University of Bergen', 'Helse Bergen Haukeland University Hospital']",https://dl.acm.org/profile/99659982427
99658770659,Noeska N Smit,"['University of Bergen', 'Delft University of Technology']",https://dl.acm.org/profile/99658770659
99660629514,Indre Tauroseviciute,['Eindhoven University of Technology'],https://dl.acm.org/profile/99660629514
99660629108,Guillermo Mateos Guridi,['Eindhoven University of Technology'],https://dl.acm.org/profile/99660629108
81100365560,Mark Alan Livingston,"['Naval Research Laboratory', 'The University of North Carolina at Chapel Hill']",https://dl.acm.org/profile/81100365560
81100455302,Derek P Brock,['Naval Research Laboratory'],https://dl.acm.org/profile/81100455302
99660628528,Sarah Dosdall,['University of Stuttgart'],https://dl.acm.org/profile/99660628528
99658703665,Katrin Angerbauer,['University of Stuttgart'],https://dl.acm.org/profile/99658703665
99659082618,Leonel Merino,"['Pontifical Catholic University of Chile', 'University of Stuttgart', 'University of Bern']",https://dl.acm.org/profile/99659082618
99660626169,Patrick Gebhardt,['University of Stuttgart'],https://dl.acm.org/profile/99660626169
99659529527,Xingyao Yu,['University of Stuttgart'],https://dl.acm.org/profile/99659529527
99660626347,Andreas Köhn,['University of Stuttgart'],https://dl.acm.org/profile/99660626347
99659635934,Yves Staudt,['University of Applied Sciences of the Grisons'],https://dl.acm.org/profile/99659635934
99660486149,Alexander van Schie,['University of Applied Sciences of the Grisons'],https://dl.acm.org/profile/99660486149
99660627909,Heiko Rölke,['University of Applied Sciences of the Grisons'],https://dl.acm.org/profile/99660627909
99660544079,Tim Cech,"['Hasso Plattner Institute for Digital Engineering gGmbH', 'University of Potsdam']",https://dl.acm.org/profile/99660544079
99660628797,Bruno Frey,['University of Applied Sciences of the Grisons'],https://dl.acm.org/profile/99660628797
99660628247,Giada Zacheo,['University of Applied Sciences of the Grisons'],https://dl.acm.org/profile/99660628247
81100493586,Yannis Panagis,"['University of Copenhagen', 'University of Patras', 'Research Academic Computer Technology Institute, Patras']",https://dl.acm.org/profile/81100493586
81100397330,Robert Spence,['Imperial College London'],https://dl.acm.org/profile/81100397330
99660629076,Sabrina Zahner,['University of Applied Sciences of the Grisons'],https://dl.acm.org/profile/99660629076
i2Sheng,Sheng Li,[],
misiniEdina,Edina Misini,[],
99660628905,Keshina Karunananthan,['University of Applied Sciences of the Grisons'],https://dl.acm.org/profile/99660628905
99660628728,Gabriel Lüchinger,['University of Applied Sciences of the Grisons'],https://dl.acm.org/profile/99660628728
99660377534,Sabrina Lindau,"['University of Applied Sciences of the Grisons', 'University of Applied Sciences Western Switzerland']",https://dl.acm.org/profile/99660377534
99660628970,Nadine Christen,['University of Applied Sciences of the Grisons'],https://dl.acm.org/profile/99660628970
99660629134,Michael Schlotter,['University of Applied Sciences of the Grisons'],https://dl.acm.org/profile/99660629134
99660626025,Juliane Streitberg,['University of Applied Sciences of the Grisons'],https://dl.acm.org/profile/99660626025
99660627947,Thomas Keller,['University of Applied Sciences of the Grisons'],https://dl.acm.org/profile/99660627947
99659647335,Dennis Collaris,['Eindhoven University of Technology'],https://dl.acm.org/profile/99659647335
81100294190,Jarke J van Wijk,"['Eindhoven University of Technology', 'IEEE']",https://dl.acm.org/profile/81100294190
99659631159,David Beil,[],https://dl.acm.org/profile/99659631159
